PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2050,2.669
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2023,0.512
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2030,2.472
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2035,4.823
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2040,7.206
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2050,12.804
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2023,0.512
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2030,5.178
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2035,8.886
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2040,13.061
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2050,16.682
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2010,173.304
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2022,187.34
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2023,192.277
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2030,195.141
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2035,188.734
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2040,181.646
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,World,2050,175.507
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,World,2023,192.277
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,World,2030,178.41
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,World,2035,156.301
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,World,2040,132.744
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,World,2050,99.919
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,World,2023,192.277
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,World,2030,150.575
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,World,2035,109.315
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,World,2040,77.148
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,World,2050,40.231
World Energy Outlook 2024,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,World,2010,25.563
