SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,28.169
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2010,152.881
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2022,172.312
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2030,155.548
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2035,130.52
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2040,113.804
Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2050,93.53
Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2030,137.801
Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2035,94.695
Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2040,65.611
Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2050,40.157
Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2030,100.827
Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2035,51.069
Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2040,25.009
Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2050,14.676
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2010,151.011
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2022,168.95
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,151.417
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,126.164
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,109.422
Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,89.393
Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,133.625
Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,87.482
Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,56.228
Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,27.737
Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,95.318
Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,41.463
Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,13.404
Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,1.961
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2010,0
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2022,0.013
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,0.185
